Optimizer,Training MSE,Validation MSE,Training MAE,Validation MAE
Adam_001,0.12530992925167084,0.25851261615753174,0.27712273597717285,0.403853178024292
Adam_0001,0.13525564968585968,0.20384885370731354,0.2924153804779053,0.3598443865776062
Adam_00001,0.15857760608196259,0.19058312475681305,0.31511273980140686,0.34926876425743103
Adam_000001,0.5242071747779846,0.5211297273635864,0.5685526132583618,0.5779577493667603
AdaGrad_001,0.14648377895355225,0.19893772900104523,0.30294281244277954,0.356545627117157
AdaGrad_0001,0.20428955554962158,0.22581934928894043,0.3591054379940033,0.37916117906570435
AdaDelta,0.9792518615722656,0.9408086538314819,0.7875189781188965,0.7704401612281799
RMSProp_001,0.1343323439359665,0.21566954255104065,0.2895658612251282,0.37326377630233765
RMSProp_0001,0.15289193391799927,0.1973673552274704,0.310660183429718,0.35586193203926086
